,id,name,type,requester,owners,description,is_completed,created_at,started_at,updated_at,moved_at,completed_at,estimate,is_blocked,is_a_blocker,labels,tasks,state,epic_id,epic,project_id,project,utc_offset,SAFe Team Label
0,16694,Capture xray information programmatically,feature,cristiano@britecore.com,fabio.luz@britecore.com,"## Overview

In order to build load-test abilities within our test suite, we need the ability to perform assertions. In order to perform assertions on attributes that relate to performance, we need the ability to gather performance attributes.

## Success Conditions

Create a module within tests/libtest that abstracts performance summary fetching so we can start to build analysis that uses that data.",,2019/05/14 12:15:44,,2019/05/15 14:51:27,2019/05/15 10:47:56,,,FALSE,FALSE,,,Unscheduled,16730,BriteAccess: Performance Test Suite,10891,BriteAccess,-5:00:00,Access
1,14791,Update reference to CloudformationTemplatesBucketURL in CFN Templates,chore,zach.saplan@britecore.com,,"## Summary
The reference for CloudFormation shared-templates from BriteCloud has changed to a new bucket reference that includes the stage name. Existing CloudFormation templates for the service teams need to be updated to reference the new bucket in order to take advantage of new features and bug-fixes in shared templates. References to `CloudFormationTemplatesBucketURL` that join with the development directory are from BriteDevelopment and should be left as is (those templates were not moved).

Example of **old** syntax
```
Fn::Join:
- ""/""
- - Fn::ImportValue: CloudFormationTemplatesBucketURL
  - deployment
  - aurora-cluster
  - 1.0.yaml
```
Example of the **new** syntax (be sure to pay close attention to the directory structure)
```
Fn::Join:
  - '/'
  - - Fn::ImportValue: 
        Fn::Sub: ""${Stage}-CloudformationTemplatesBucketURL""
    - aurora-cluster
    - 1.0.yaml
```

## Audience
Internal

## References
[Documentation for new syntax](https://github.com/IntuitiveWebSolutions/BriteCloud#tips-tricks-and-considerations)
[Update Here](https://github.com/IntuitiveWebSolutions/BriteAccess/blob/65701548c77a15619d9270ca5d06406d1fdf146d/cloudformation/service/database.yaml#L17)

## Acceptance Criteria
* Service Templates reference the new bucket",,2019/04/16 13:45:10,,2019/04/22 15:38:01,2019/04/16 13:45:10,,,FALSE,FALSE,,,Unscheduled,,,10891,BriteAccess,-5:00:00,Access
2,13378,Validate condition selectors according to statement possibilities,feature,cristiano@britecore.com,,"## Overview

The condition field in a PolicyStatement can express references to the context of both the evaluated $record and $action. Moreover, attributes of those two selector roots can be defined, such as $record.size or $action.type. 

Since those selectors are created by humans, a mistake can be made such that the attribute on the selector does not make sense to the respective resource or action.

## Success Condition

* Prevent conditions with inconsistent selectors to be persisted in the database.


## Note

Continuous relational integrity can't be enforced by the relational database for the condition field since it is a JSON field, so we will need to account for that as we mature domain evolution. In other words: no need to account for continuous validation at this time, just ensure invalid policies are not added.",,2019/03/15 15:17:47,,2019/04/30 8:02:36,2019/03/15 15:17:47,,,FALSE,FALSE,,,Unscheduled,12701,BriteAccess:  Polished API,10891,BriteAccess,-5:00:00,Access
3,15803,Migrate ResourceSpec and ActionSpec creation hooks to django signals,feature,fabio.luz@britecore.com,,"# Overview
The domains app is currently coupled with the policies app, due to the need to automatically create a ResourceSpec instance when an Organization, Domain, or Resource is created or an ActionSpec instance when an Action is created.

This coupling happens in the save method Organization, Domain, Resource, and Action.

To decrease direct coupling, we should check the feasibility of using Django signals

# Success Conditions
- Implement the use of Django signals to Organization, Domain, Resource and Action using the `post_save` signal.
- Verify that behavior using signals works just as if direct mode were used. If it works, integrate the changes in the codebase",,2019/05/01 11:22:48,,2019/05/14 17:07:58,2019/05/01 11:22:48,,3,FALSE,FALSE,,,Unscheduled,,,10891,BriteAccess,-5:00:00,Access
4,13737,Debug how actions are created,chore,susana.molinar@britecore.com,,"## Overview

On some API tests that were performed on the `policies` endpoint, we discovered that when an invalid lower-case action string was sent, the API would not return an error but instead return the created policy with the correct `actions` capitalization. 

## Success Conditions
- Perform a case-sensitive comparison on `action` names, so if a lowercase name for an action is used and an action with the same lowercase name (under the respective resource) does not exist, a validation error should be returned.",,2019/03/20 19:53:11,,2019/04/15 13:20:26,2019/03/20 19:53:11,,,FALSE,FALSE,,,Unscheduled,12701,BriteAccess:  Polished API,10891,BriteAccess,-5:00:00,Access
5,14849,Improve Error Code Structure,feature,cristiano@britecore.com,,"## Overview

BriteAccess will support a consistent error-code structure to identify all different errors specifically through numeric identifiers.

## Success Condition

* Implement Error Code mechanics across project apps
* Map formatting details alongside error codes",,2019/04/17 6:26:37,,2019/04/30 7:10:33,2019/04/17 6:26:37,,,FALSE,FALSE,,,Unscheduled,12701,BriteAccess:  Polished API,10891,BriteAccess,-5:00:00,Access
6,13404,Analyze and improve PolicyStatement.actions,feature,cristiano@britecore.com,cristiano@britecore.com,"## Overview

Attempting to reach out to statement actions using an instance `.actions` attribute can be misleading. Since that attribute represents a ManyToMany relationship with domains.Action through an intermediate table, whenever the FK in the intermediate table is set to null, then the respective item will not be listed by PolicyStatement.actions. 

In other words, the default behavior for that ManyToMany relationship mapping is imposing an application level constraint that does not reflect real world constraints so it needs to be re-assessed and perhaps removed temporarily until we find a way to make that relationship more reliable.",,2019/03/18 8:16:41,,2019/05/15 14:10:44,2019/05/15 14:10:44,,,FALSE,FALSE,,,Unscheduled,12701,BriteAccess:  Polished API,10891,BriteAccess,-5:00:00,Access
7,14850,Normalize Error Structure Across API,feature,cristiano@britecore.com,,"## Overview

Error formatting needs normalization so it can be sanely consumed by the frontend. We currently have many variants, like errors in a flat string list, nested errors where fields contain lists, or nested errors where fields contains other fields and all that divergence is not good.

## Success Conditions

* Specify normalized format and document in a central file
* Review API endpoints and identify flaws
* Fix diverging endpoints or create specific stories to fix them individually in case the problem is complicated.",,2019/04/17 6:30:43,,2019/04/30 7:10:37,2019/04/17 6:30:43,,,FALSE,FALSE,,,Unscheduled,12701,BriteAccess:  Polished API,10891,BriteAccess,-5:00:00,Access
8,8366,PA FNOL - FNOL Draft Screen - Views,feature,jeramiah.diegel@britecore.com,jeramiah.diegel@britecore.com,"As a User, I need to be able to see FNOL records that are still in Draft status in order to access and edit incomplete FNOL reports.

When I go to this screen, I want the screen to default to showing FNOL Drafts that are related to my adjuster ID.

I also want the ability to be able to switch views in order to view ALL FNOL Drafts that are related to all users. 

There should be two separate views for FNOL Drafts:
- My FNOL Drafts (default)
- All",,2018/11/05 14:44:05,,2018/11/05 15:01:39,2018/11/05 14:44:05,,,FALSE,FALSE,"BriteClaims_V10.0
BriteClaims_v10.0_Sprint_12
BriteClaims",,Unscheduled,8241,BriteClaims - PA FNOL - FNOL Draft Screen,844,BriteClaims,-5:00:00,Claims
9,7284,System Administration - User Groups DRAFT,feature,aaron.herrmann@britecore.com,,,,2018/09/25 13:41:19,,2018/09/25 17:17:37,2018/09/25 13:41:19,,,FALSE,FALSE,"BriteClaims_V10.0
BriteClaims",,Unscheduled,7280,BriteClaims - System Administration (Sprint 15),844,BriteClaims,-5:00:00,Claims
